target bitrate,avg bitrate,13700k vaapi h264,13700k vaapi h265,13700k vaapi vp9,x264,svtav1 p6 10b tune0,svtav1 p6 10b tune0 vbr,nvenc av1 8bit,svtav1 p8 10b tune0,svtav1 p8 8b tune0,nvenc av1 10b,a770 vaapi h264,a770 vaapi hevc,a770 vaapi 10b hevc,a770 av1 qsv,a770 av1 10bit qsv
500,487818,,,,,,,,,,,,,,,
1000,983280,,,,,,,,,,,,,,,
1500,1475107,,,,,,,,,,,,,,,
2000,1963522,,,,,,,,,,,,,,,
2500,2449202,,,,,,,,,,,,,,,
3000,2933334,,,,,,,,,,,,,,,
3500,3416304,,,,,,,,,,,,,,,
4000,3898768,,,,,,,,,,,,,,,
4500,4380393,,,,,,,,,,,,,,,
5000,4862362,,,,,,,,,,,,,,,
5500,5343627,,,,,,,,,,,,,,,
6000,5826125,,,,,,,,,,,,,,,
6500,6308544,,,,,,,,,,,,,,,
7000,6790078,,,,,,,,,,,,,,,
7500,7272756,,,,,,,,,,,,,,,
8000,7753516,,,,,,,,,,,,,,,
8500,8236779,,,,,,,,,,,,,,,
